19.546546936035156,
55.749237060546875,
106.5845947265625,
50.09016418457031,
22.857404708862305,
12.267635345458984,
17.595829010009766,
-12.889266967773438,
7.173983573913574,
-42.14813232421875,
-12.729564666748047,
-11.249271392822266,
11.530675888061523,
-25.46727752685547,
15.457233428955078,
72.852783203125,
-2.4397506713867188,
181.6980438232422,
25.030574798583984,
16.619827270507812,
3.069364547729492,
77.7675552368164,
-0.6253318786621094,
11.92892074584961,
-9.482383728027344,
70.70604705810547,
1.1261959075927734,
89.97242736816406,
16.177392959594727,
-11.946521759033203,
16.570236206054688,
11.973485946655273,
-19.791540145874023,
60.9091682434082,
26.9740047454834,
22.5377197265625,
-31.066219329833984,
51.865020751953125,
-32.435691833496094,
-0.2563152313232422,
8.39476490020752,
-25.886367797851562,
14.828701972961426,
32.594425201416016,
-11.28849983215332,
11.325983047485352,
3.6380348205566406,
-19.83184051513672,
21.15176010131836,
8.735837936401367,
90.1856460571289,
-6.513139724731445,
-49.711360931396484,
3.6764087677001953,
22.49911880493164,
-4.3801116943359375,
99.17012023925781,
10.46921157836914,
-21.103530883789062,
11.992263793945312,
6.96121883392334,
-13.111700057983398,
27.808786392211914,
-16.9567928314209,
29.160627365112305,
-1.6211013793945312,
1.9409313201904297,
14.589139938354492,
-10.431679725646973,
16.015762329101562,
8.703018188476562,
24.97371482849121,
19.02246856689453,
65.58052062988281,
18.378816604614258,
-16.425369262695312,
22.656879425048828,
33.36313247680664,
10.056116104125977,
-24.966758728027344,
-23.41107940673828,
-50.62396240234375,
-12.471750259399414,
18.054967880249023,
-10.226648330688477,
49.55662536621094,
113.43978881835938,
2.3257598876953125,
27.4718017578125,
25.77860450744629,
-0.6507015228271484,
0.6354217529296875,
26.901702880859375,
-5.279964447021484,
-26.535400390625,
41.51524353027344,
-4.176342010498047,
145.57591247558594,
48.65080642700195,
30.194730758666992,
24.305118560791016,
10.717594146728516,
7.422170639038086,
-4.941262245178223,
5.996715545654297,
24.081207275390625,
23.28420639038086,
92.9535140991211,
38.03675842285156,
11.708902359008789,
17.34894561767578,
-14.70668888092041,
3.457000732421875,
-2.2413387298583984,
7.893366813659668,
-1.391580581665039,
18.250349044799805,
10.419881820678711,
-17.73178482055664,
-8.128396034240723,
-16.338693618774414,
-29.348186492919922,
-19.419002532958984,
2.3017711639404297,
14.988043785095215,
9.850223541259766,
-23.51213836669922,
14.412140846252441,
-9.801522254943848,
-7.381048202514648,
-17.88964080810547,
-3.6908884048461914,
2.350078582763672,
-8.252262115478516,
45.91737365722656,
47.964412689208984,
18.633495330810547,
46.68515396118164,
28.54917335510254,
-8.959071159362793,
2.7242116928100586,
-15.539640426635742,
-1.0477638244628906,
-24.829368591308594,
8.307190895080566,
-11.209506034851074,
-15.929089546203613,
2.046283721923828,
29.32250213623047,
-6.648580551147461,
-10.77469539642334,
-32.38053894042969,
-10.229477882385254,
-8.948226928710938,
22.97931671142578,
52.184017181396484,
34.53630447387695,
-9.442007064819336,
-3.6883373260498047,
-15.374130249023438,
-5.186537742614746,
-12.96787166595459,
13.693732261657715,
13.947293281555176,
7.865656852722168,
-28.468387603759766,
30.254966735839844,
-14.322359085083008,
57.79064178466797,
60.50794219970703,
17.081451416015625,
6.413774490356445,
-20.426008224487305,
-14.964603424072266,
22.562911987304688,
90.03271484375,
54.86853790283203,
-23.864953994750977,
38.023956298828125,
38.51163864135742,
-8.905956268310547,
41.28204345703125,
10.568098068237305,
1.9386444091796875,
-17.241546630859375,
15.779341697692871,
10.070582389831543,
6.957557678222656,
4.109653472900391,
48.4807243347168,
-7.859474182128906,
-19.702299118041992,
6.519378662109375,
31.378576278686523,
-19.23246192932129,
-8.087268829345703,
-5.218845367431641,
1.8575897216796875,
0.13969039916992188,
-23.02772331237793,
-47.33662414550781,
-8.41502571105957,
17.616140365600586,
3.1461801528930664,
38.53506851196289,
93.11260986328125,
14.31156063079834,
-12.769606590270996,
-3.9149656295776367,
